"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
59,"Lose Yourself","Hotel Books","contemporary post-bop/jazz funk/jazz fusion",0,0.302,0.208,0.557,0.304,0,-10.754,0.037,0.0218,76.054,181655
60,"Constant Collapse","Hotel Books","contemporary post-bop/jazz funk/jazz fusion",0,0.507,0.426,0.736,0.0683,0.000731,-6.182,0.144,0.0705,134.655,211618
61,"Dreaming Or Sinking","Hotel Books","contemporary post-bop/jazz funk/jazz fusion",0,0.116,0.384,0.438,0.148,0.0851,-11.487,0.0457,0.0989,98.354,198060
62,"Two Eight One","Hotel Books","contemporary post-bop/jazz funk/jazz fusion",0,0.661,0.546,0.865,0.445,0,-4.548,0.149,0.707,122.657,200316
63,"America's Next Model","Hotel Books","contemporary post-bop/jazz funk/jazz fusion",0,0.575,0.492,0.925,0.11,0,-3.382,0.0808,0.331,129.826,185494
64,"Cult Leader","Hotel Books","contemporary post-bop/jazz funk/jazz fusion",0,0.454,0.56,0.914,0.0712,0,-3.327,0.0938,0.483,129.958,221505
65,Nicole,"Hotel Books","contemporary post-bop/jazz funk/jazz fusion",0,0.236,0.522,0.646,0.185,0,-6.307,0.0769,0.882,109.899,210539
66,Lungs,"Hotel Books","contemporary post-bop/jazz funk/jazz fusion",0,0.158,0.451,0.907,0.114,0,-4.108,0.174,0.51,139.946,255600
67,"Car Crash","Hotel Books","contemporary post-bop/jazz funk/jazz fusion",0,0.504,0.537,0.653,0.245,0,-5.346,0.234,0.781,128.056,273843
68,"After Tomorrow","Moses Boyd","contemporary post-bop/jazz funk/jazz fusion",24,0.276,0.35,0.511,0.129,0.86,-11.519,0.0804,0.00172,104.836,393958
69,"Square Up","Moses Boyd","contemporary post-bop/jazz funk/jazz fusion",18,0.176,0.168,0.901,0.219,0.903,-10.905,0.316,0.103,196.066,372716
70,Sirens,"Moses Boyd","contemporary post-bop/jazz funk/jazz fusion",32,0.664,0.724,0.779,0.062,0.87,-11.611,0.0573,0.000162,120.023,340015
71,"Absolute Zero","Moses Boyd","rap/trap music",16,0.155,0.409,0.742,0.213,0.642,-8.487,0.0775,0.0738,140.106,176799
72,"Rye Lane Shuffle","Moses Boyd","rap/trap music",40,0.901,0.44,0.906,0.0941,0.913,-7.564,0.0507,0.298,134.345,266226
73,"Drum Dance","Moses Boyd","rap/trap music",25,0.876,0.664,0.861,0.117,0.861,-12.113,0.0601,0.0581,135.025,314194
74,Cooler,"Wayne Snow","rap/trap music",29,0.302,0.601,0.67,0.113,0.211,-11.82,0.0386,0.359,95.957,171816
75,"Still In The Shell","Wayne Snow","rap/trap music",28,0.418,0.738,0.671,0.629,0.456,-11.811,0.196,0.0322,89.027,173258
76,Drunk,"Wayne Snow","rap/trap music",31,0.813,0.787,0.662,0.229,0.0123,-10.452,0.081,0.218,116.935,237949
