"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
62,"Truly Madly Deeply","Savage Garden","europop/swedish pop",60,0.663,0.6,0.614,0.0911,2.38E-5,6.132,0.0375,0.315,168.068,277600
63,"In The Air Tonight - 2015 Remastered","Phil Collins","australian pop/australian rock",77,0.298,0.446,0.239,0.0697,4.1E-6,13.945,0.0316,0.551,189.507,336453
64,"Oops!...I Did It Again","Britney Spears","australian pop/australian rock",77,0.894,0.751,0.834,0.355,1.77E-5,5.444,0.0437,0.3,95.053,211160
65,"My Sharona","The Knack","dirty south rap/hip hop/pop rap/rap/southern hip hop",74,0.897,0.586,0.7,0.0318,0.00125,9.558,0.0363,0.0589,147.245,295400
66,"Losing My Religion",R.E.M.,christmas/rock-and-roll/rockabilly,26,0.801,0.671,0.849,0.0971,0,5.963,0.0283,0.0879,125.429,269000
67,"Tiny Dancer","Elton John","alternative metal/alternative rock/funk metal/funk rock/grunge/hard rock/nu metal/post-grunge/rap metal/rap rock/rock",34,0.281,0.415,0.425,0.143,0.000407,11.082,0.0278,0.396,145.234,377093
68,"Born in the U.S.A.","Bruce Springsteen","dance pop/pop/post-teen pop/r&b",73,0.584,0.398,0.952,0.1,7.75E-5,6.042,0.061,0.000373,122.093,278680
69,"Let's Talk About Sex",Salt-N-Pepa,"album rock/australian rock/hard rock/rock",12,0.724,0.871,0.709,0.236,0,7.213,0.109,0.037,106.912,212747
70,"Eagle Rock - 2011 Remaster","Daddy Cool","dance pop/pop/pop rock",60,0.674,0.618,0.776,0.0808,5.35E-5,5.16,0.0402,0.125,125.536,250067
71,"My Happiness",Powderfinger,"australian alternative rock/australian pop/australian rock/dance rock/mellow gold/permanent wave/pop rock/rock/soft rock",25,0.505,0.447,0.809,0.363,0,5.431,0.0295,0.00193,85.885,276707
72,"Hey Jude","Paul McCartney","album rock/mellow gold/rock/soft rock",2,0.354,0.221,0.966,0.967,0.000187,2.747,0.0962,0.0357,150.641,455560
73,Alive,"Pearl Jam","australian pop/dance pop/europop/folk-pop/lilith/new wave pop/pop rock",77,0.595,0.284,0.875,0.402,0.000461,6.069,0.0422,0.00752,75.009,340907
74,"Rolling in the Deep",Adele,"art rock/dance rock/glam rock/new wave/permanent wave/protopunk/rock",75,0.507,0.73,0.77,0.0473,0,5.114,0.0298,0.138,104.948,228093
75,"Beds Are Burning - Remastered","Midnight Oil","alternative rock/canadian pop/folk-pop/lilith/new wave pop/pop rock/singer-songwriter",66,0.341,0.754,0.496,0.0871,0.000152,8.7,0.0351,0.00539,119.186,258173
76,Creep,Radiohead,"album rock/art rock/british invasion/classic rock/folk rock/hard rock/mellow gold/protopunk/psychedelic rock/rock/roots rock",82,0.104,0.515,0.43,0.129,0.000141,9.935,0.0369,0.0102,91.841,238640
77,"London Calling - Remastered","The Clash","album rock/classic rock/piano rock/psychedelic rock/rock",71,0.776,0.651,0.801,0.0825,0,7.34,0.0513,0.123,133.763,200480
78,"Back for Good - Radio Mix","Take That","glam metal/rock",70,0.547,0.6,0.504,0.137,0,9.761,0.0292,0.308,78.961,242267
79,"Great Southern Land",ICEHOUSE,"classic soul/funk/motown/northern soul/quiet storm/soul",7,0.468,0.717,0.837,0.067,0.000145,5.641,0.0278,0.244,120.142,317200
