"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
73,"Caledonia, My Love","Hiss Golden Messenger","Genres not available",64,0.198,0.555,0.144,0.0953,0.000281,16.868,0.0474,0.842,117.462,180373
74,"Early Morning Coffee Cups","Jaimi Faulkner","Genres not available",61,0.485,0.658,0.396,0.176,0,12.753,0.0319,0.627,97.957,199853
75,Gold,"Matt Hartke/Maggie Peake","Genres not available",62,0.34,0.641,0.415,0.0977,0,8.212,0.0294,0.69,128.091,256875
76,"Summer Clothes (Acoustic)","Marc Scibilia","Genres not available",62,0.839,0.653,0.5,0.097,0.00315,7.339,0.0389,0.526,85.994,137853
77,Oceans,Seafret,"Genres not available",69,0.2,0.404,0.48,0.132,8.63E-6,8.906,0.0303,0.274,129.162,216187
78,"Falling Water","Peter Oren","Genres not available",61,0.23,0.613,0.215,0.106,0.000104,13.147,0.0538,0.813,81.258,198625
79,"First Day Of My Life","Bright Eyes","Genres not available",72,0.383,0.468,0.201,0.0952,8.28E-5,17.024,0.0388,0.915,94.422,188800
80,Jolene,"Ray LaMontagne","Genres not available",67,0.288,0.587,0.142,0.0953,0.000162,15.196,0.0329,0.862,119.752,250867
81,Songbird,"Cory Chisel/Adriel Denae","Genres not available",41,0.287,0.651,0.261,0.301,0,10.019,0.0266,0.57,104.116,206523
82,"Sounds Like Help","Austin Basham","Genres not available",35,0.137,0.623,0.444,0.119,1.63E-6,8.585,0.0276,0.652,126.014,207800
83,"Life Is Confusing","Langhorne Slim","Genres not available",64,0.496,0.373,0.216,0.0739,0.00105,11.41,0.0326,0.955,129.03,171413
84,"...Familiar Place","Lucy Dacus","Genres not available",62,0.0277,0.214,0.148,0.113,0.058,17.775,0.037,0.0128,46.591,175778
85,"So Cool",Caamp,"Genres not available",64,0.56,0.58,0.469,0.193,0.0122,10.02,0.0332,0.57,152.867,179068
86,Unknown,Tuvaband,"Genres not available",23,0.0863,0.417,0.102,0.891,0.000275,16.787,0.0368,0.959,130.994,250850
87,Woandering,"I Am Oak","Genres not available",49,0.21,0.695,0.269,0.35,0.266,12.881,0.0273,0.926,88.045,224687
88,"On That Day",Ásgeir,"Genres not available",56,0.302,0.603,0.194,0.115,0.012,15.252,0.0282,0.91,99.927,225850
89,"Blood Drive","Joshua Burnside","Genres not available",61,0.39,0.655,0.396,0.103,0.155,12.673,0.0349,0.964,99.956,234327
90,"Fall Apart Today","Schuyler Fisk","Genres not available",62,0.522,0.416,0.295,0.156,0,11.523,0.0302,0.851,108.211,203760
91,"Something Familiar","Josienne Clarke and Ben Walker","Genres not available",60,0.278,0.491,0.0409,0.0896,1.49E-5,18.431,0.0383,0.906,131.053,145467
92,"Call It Dreaming","Iron & Wine","Genres not available",67,0.714,0.519,0.515,0.107,5.66E-5,9.448,0.031,0.61,80.329,231760
93,"Stay Awake",Joseph,"Genres not available",55,0.0592,0.37,0.136,0.0999,0.000263,13.528,0.0433,0.898,146.081,114582
94,"Build Me Up From Bones","Sarah Jarosz","Genres not available",64,0.284,0.515,0.286,0.106,6.9E-5,11.776,0.0378,0.862,115.076,216173
